ax,ay,az,gx,gy,gz
0.72,0.68,0.07,0.31,0.24,0.55
0.72,0.68,0.07,0.12,0.98,0.55
0.72,0.68,0.07,-0.06,1.34,0.31
0.73,0.67,0.08,-0.18,1.04,0.18
0.73,0.67,0.08,0.85,0.0,0.31
0.73,0.67,0.08,1.34,0.31,0.18
0.73,0.67,0.08,1.46,1.95,0.67
0.73,0.67,0.07,1.22,1.53,0.49
0.73,0.67,0.08,1.1,0.55,0.0
0.72,0.68,0.08,0.61,0.12,-0.37
0.72,0.67,0.08,0.43,0.06,-0.37
0.72,0.67,0.08,0.37,0.12,-0.43
0.73,0.67,0.08,0.18,0.92,-0.37
0.74,0.67,0.08,0.06,0.92,-0.55
0.74,0.67,0.08,-0.06,-0.24,-0.61
0.73,0.67,0.07,-0.06,-0.67,-0.61
0.73,0.68,0.07,-0.31,-0.24,-0.55
0.73,0.68,0.07,-0.24,0.43,-0.06
0.73,0.68,0.07,0.0,0.85,0.37
0.73,0.68,0.07,0.61,0.55,0.24
0.73,0.67,0.07,0.79,0.18,0.12
0.73,0.67,0.07,0.79,-0.12,-0.12
0.72,0.68,0.07,0.98,0.12,-0.37
0.72,0.68,0.07,1.16,0.49,-0.55
0.72,0.68,0.08,1.22,1.28,-0.24
0.74,0.68,0.08,1.46,1.77,-0.06
0.74,0.67,0.07,1.59,1.28,0.06
0.74,0.67,0.08,1.34,0.06,0.12
0.71,0.7,0.12,2.99,0.49,0.24
0.69,0.71,0.13,6.47,6.23,-2.5
0.72,0.69,0.26,0.73,0.24,-4.52
0.64,0.69,0.21,13.24,-19.1,-15.32
0.83,0.65,-0.31,31.8,-16.54,-28.2
1.05,0.61,-0.19,29.54,-1.77,-22.34
0.98,0.6,0.07,2.14,-4.88,17.76
0.73,0.63,0.25,-3.17,-30.64,0.0
0.66,0.67,0.18,-2.5,-29.05,-3.3
0.7,0.66,0.07,-1.46,-11.6,3.72
0.7,0.67,0.07,-3.17,-1.53,5.55
0.68,0.67,0.08,-12.27,7.87,10.62
0.65,0.68,0.15,-14.28,16.05,14.95
0.67,0.68,0.15,-7.87,23.86,9.95
0.73,0.68,0.1,-4.46,17.76,2.69
0.74,0.69,0.09,-3.6,8.91,-1.77
0.72,0.69,0.09,-5.31,1.4,-1.65
0.7,0.67,0.05,-5.31,2.69,-1.04
0.7,0.66,0.03,-1.59,-1.71,-5.25
0.72,0.68,0.03,1.53,-4.33,-7.75
0.77,0.68,0.04,1.65,-0.18,-3.97
0.81,0.65,0.09,-0.85,-0.49,0.43
0.78,0.65,0.11,-2.38,-5.55,0.92
0.76,0.66,0.12,-2.5,-13.55,-2.44
0.74,0.67,0.11,-2.38,-12.39,-1.83
0.73,0.67,0.11,-1.95,-5.98,0.12
0.72,0.67,0.09,-1.71,-2.32,1.28
0.73,0.67,0.09,-1.46,0.49,2.32
0.74,0.67,0.09,-0.92,0.98,2.44
0.75,0.67,0.08,-0.85,-0.12,2.14
0.74,0.67,0.08,-1.1,-1.59,1.53
0.72,0.67,0.08,-1.16,-2.2,0.79
0.71,0.68,0.08,-1.1,-2.62,0.06
0.71,0.68,0.09,-0.79,-1.59,0.06
0.71,0.68,0.09,-0.67,-0.37,0.31
0.72,0.68,0.09,-0.37,0.85,0.18
0.73,0.67,0.09,-0.18,0.49,-0.12
0.73,0.67,0.09,-0.12,-0.37,-0.55
0.73,0.67,0.09,-0.31,-1.1,-1.22
0.73,0.67,0.09,-0.43,-0.85,-1.16
0.73,0.67,0.09,-0.49,-0.67,-0.85
0.74,0.67,0.08,-0.31,-0.61,-0.73
0.74,0.67,0.08,-0.06,-0.43,-0.24
