ax,ay,az,gx,gy,gz
0.65,0.55,0.53,0.61,-0.24,0.12
0.65,0.55,0.53,0.49,0.0,0.31
0.65,0.55,0.53,0.31,0.31,0.37
0.65,0.55,0.53,0.24,0.24,0.24
0.65,0.54,0.53,0.18,0.06,0.06
0.65,0.54,0.54,0.12,-0.31,-0.06
0.65,0.55,0.54,0.12,-0.06,-0.06
0.65,0.55,0.53,0.18,1.22,-0.12
0.65,0.55,0.53,0.12,1.65,0.0
0.65,0.55,0.53,0.06,1.46,0.0
0.65,0.54,0.53,-0.12,-0.12,-0.31
0.65,0.54,0.53,-0.18,-0.67,-0.43
0.65,0.54,0.53,-0.12,-0.49,-0.37
0.66,0.55,0.53,0.06,0.06,0.0
0.66,0.55,0.53,0.18,0.18,0.24
0.66,0.55,0.52,0.31,-0.06,0.24
0.65,0.55,0.53,0.31,-0.18,0.18
0.65,0.55,0.53,0.37,-0.31,0.31
0.65,0.55,0.53,0.43,-0.18,0.43
0.65,0.55,0.53,0.55,-0.06,0.43
0.65,0.55,0.53,0.61,0.12,0.18
0.65,0.55,0.53,0.55,0.06,0.12
0.65,0.55,0.53,0.49,0.0,0.18
0.65,0.54,0.53,0.37,0.18,0.31
0.65,0.54,0.53,0.37,0.24,0.37
0.65,0.55,0.53,0.43,0.24,0.31
0.65,0.55,0.53,0.37,0.24,0.31
0.64,0.55,0.53,0.37,0.31,0.31
0.64,0.55,0.53,0.37,0.24,0.24
0.65,0.55,0.53,0.37,0.18,0.12
0.65,0.55,0.53,0.43,-0.18,-0.12
0.65,0.55,0.53,0.43,-0.18,-0.18
0.65,0.55,0.53,0.31,0.0,-0.18
0.65,0.55,0.53,0.12,0.49,-0.12
0.65,0.55,0.53,0.0,0.43,-0.12
0.65,0.55,0.53,-0.06,0.18,-0.24
0.64,0.55,0.53,0.0,0.06,-0.37
0.64,0.55,0.53,0.0,0.12,-0.37
0.64,0.55,0.54,-0.24,0.67,-0.24
0.65,0.55,0.53,-0.37,0.67,-0.37
0.65,0.55,0.52,-0.31,-0.24,-1.1
0.65,0.55,0.53,-0.18,-0.43,-1.22
0.65,0.55,0.53,-0.18,-0.24,-1.1
0.65,0.55,0.53,-0.31,0.43,-0.85
0.65,0.55,0.53,-0.18,0.55,-0.85
0.65,0.55,0.53,-0.18,0.55,-1.04
0.65,0.54,0.53,-0.18,0.43,-1.04
0.65,0.55,0.53,-0.06,0.31,-0.73
0.64,0.55,0.53,0.0,0.43,-0.55
0.65,0.55,0.53,0.0,0.49,-0.55
0.65,0.55,0.53,0.0,0.37,-0.79
0.65,0.54,0.53,0.0,0.24,-0.73
0.65,0.54,0.53,-0.06,0.67,-0.49
0.66,0.55,0.53,-0.06,0.98,-0.24
0.65,0.55,0.53,-0.06,1.1,-0.06
0.66,0.55,0.53,0.06,2.08,-0.06
0.66,0.54,0.52,0.24,2.01,0.06
0.66,0.54,0.52,0.31,0.06,-0.06
0.65,0.54,0.52,0.31,-0.31,-0.06
0.66,0.54,0.52,0.43,-0.31,0.0
0.67,0.54,0.52,1.22,-2.56,0.49
0.63,0.57,0.53,1.53,-5.92,0.49
0.64,0.57,0.54,-8.42,-9.4,-2.01
0.61,0.58,0.67,-17.09,-8.79,-4.82
0.55,0.59,0.7,-15.14,-8.12,-11.05
0.7,0.53,0.36,-1.59,-8.67,-10.19
0.96,0.5,0.34,6.41,-7.63,-7.39
0.96,0.47,0.4,3.97,-24.48,0.31
0.6,0.52,0.54,3.42,-47.73,-0.12
0.5,0.55,0.56,5.37,-52.67,-2.01
0.48,0.55,0.56,4.82,-38.7,-0.43
0.55,0.53,0.58,3.78,-20.2,1.28
0.62,0.53,0.61,0.55,14.95,4.7
0.68,0.56,0.63,-1.4,21.36,7.32
0.66,0.56,0.61,-3.36,10.86,4.46
0.62,0.54,0.57,-3.3,3.85,0.49
0.61,0.53,0.55,-3.11,1.34,-1.77
0.59,0.54,0.52,-1.28,17.64,2.08
0.59,0.57,0.45,1.22,32.84,6.1
0.61,0.55,0.46,5.86,41.38,9.64
0.68,0.5,0.56,8.12,38.64,8.61
0.73,0.52,0.54,10.8,35.83,6.65
0.83,0.53,0.51,11.84,27.77,4.7
0.75,0.55,0.53,8.42,12.51,6.9
0.51,0.57,0.62,-0.06,-25.33,3.3
0.49,0.57,0.63,-2.32,-32.9,-2.08
0.52,0.56,0.58,-1.4,-24.05,-7.14
0.56,0.56,0.56,-0.24,-12.82,-6.35
0.61,0.56,0.56,-0.24,8.67,-1.46
0.68,0.56,0.55,-1.77,12.21,0.24
0.68,0.56,0.53,-2.62,4.82,-2.2
0.68,0.53,0.47,-1.46,-0.85,-4.46
0.67,0.53,0.46,0.73,-7.81,-5.8
0.64,0.54,0.47,1.28,-7.39,-4.33
0.63,0.54,0.49,1.53,-3.05,0.55
0.64,0.54,0.53,1.83,-1.77,1.83
0.66,0.55,0.55,2.26,-1.95,2.14
0.67,0.55,0.57,2.75,-4.09,0.85
0.66,0.55,0.57,2.62,-4.76,0.06
0.64,0.54,0.56,2.32,-2.99,0.0
0.63,0.54,0.54,1.95,-1.16,0.73
0.64,0.54,0.55,1.34,0.06,1.4
0.64,0.54,0.56,-0.24,-0.49,2.01
0.64,0.54,0.56,-0.73,-1.22,1.83
0.63,0.54,0.56,-1.46,-1.59,0.85
0.61,0.55,0.57,-1.46,-0.31,0.37
0.62,0.55,0.56,-1.1,1.4,0.06
0.62,0.55,0.55,-0.55,1.59,-0.61
0.62,0.55,0.52,-0.37,0.31,-1.1
0.63,0.54,0.52,0.31,-1.1,-1.34
0.64,0.55,0.54,0.31,-0.98,-1.04
0.64,0.55,0.55,-0.37,-0.43,-0.49
0.64,0.55,0.55,-0.55,-0.49,-0.55
0.65,0.54,0.55,-0.49,-0.61,-0.79
0.65,0.54,0.55,-0.24,-0.79,-1.16
0.65,0.55,0.54,-0.31,-1.22,-0.98
0.65,0.55,0.55,-0.12,-2.14,-0.55
0.63,0.54,0.55,0.67,-3.6,-0.61
0.66,0.54,0.53,1.16,-6.1,-1.16
0.67,0.53,0.53,-0.98,-12.33,-1.34
0.65,0.55,0.52,-3.3,-16.48,-1.59
0.62,0.56,0.54,-10.38,-22.03,-2.62
0.52,0.58,0.65,-13.79,-16.85,-3.66
0.5,0.6,0.69,-10.74,10.19,-5.07
0.55,0.51,0.48,-2.08,20.14,-3.23
0.72,0.5,0.42,5.13,14.53,-0.85
0.87,0.51,0.47,3.78,-8.91,-2.87
0.69,0.5,0.55,1.46,-29.3,-4.27
0.59,0.53,0.57,1.65,-53.28,-8.85
0.54,0.57,0.61,1.59,-40.95,-6.9
0.55,0.56,0.65,0.67,-19.53,-2.26
0.62,0.55,0.66,-2.75,23.19,6.04
0.71,0.55,0.58,-3.91,31.43,8.42
0.69,0.54,0.54,-2.08,16.36,4.88
0.61,0.54,0.51,-0.37,2.38,0.12
0.58,0.54,0.5,0.98,-7.87,-3.3
0.57,0.55,0.5,2.38,-6.23,-2.56
0.6,0.55,0.49,3.23,2.14,0.61
0.61,0.54,0.5,5.55,15.01,6.53
0.62,0.55,0.53,6.96,18.55,7.87
0.59,0.56,0.6,8.12,22.77,8.06
0.58,0.58,0.69,6.29,31.07,3.78
0.68,0.54,0.63,4.33,32.59,0.92
0.71,0.48,0.48,5.74,12.02,-0.43
0.78,0.54,0.44,7.14,2.62,-0.85
0.76,0.56,0.51,6.1,-0.43,0.37
0.67,0.57,0.58,-1.59,-11.78,5.0
0.51,0.55,0.61,-3.66,-18.13,2.01
0.5,0.55,0.59,-1.4,-15.56,-4.15
0.57,0.54,0.56,0.67,-8.48,-4.46
0.62,0.54,0.56,1.16,-1.22,-3.36
0.64,0.55,0.57,-1.04,7.08,1.1
0.66,0.56,0.55,-1.46,6.1,2.01
0.65,0.55,0.55,-0.55,-2.56,-1.1
0.64,0.55,0.56,-0.12,-5.25,-3.11
0.63,0.54,0.52,0.31,-5.25,-3.72
0.62,0.53,0.51,0.24,-3.17,-1.04
0.65,0.54,0.54,0.24,-2.5,0.24
0.65,0.54,0.57,0.12,-2.93,0.85
0.65,0.55,0.58,0.0,-4.39,0.06
0.63,0.55,0.58,0.18,-4.52,-0.73
0.62,0.54,0.56,0.43,-3.48,-0.85
0.62,0.54,0.55,0.67,-2.26,-0.55
0.63,0.54,0.55,0.85,0.79,0.92
0.63,0.54,0.56,0.55,1.53,1.53
0.63,0.54,0.56,0.24,1.53,1.53
0.62,0.54,0.56,-0.06,-0.12,0.55
0.62,0.55,0.57,-0.06,-1.04,-0.06
0.62,0.55,0.57,0.06,-0.92,-0.79
0.62,0.54,0.56,0.0,0.12,-0.67
0.62,0.54,0.55,-0.06,1.28,-0.37
0.62,0.54,0.55,-0.37,1.95,0.06
